Player,College,NBA Debut,Position,Ht,Wt,College PTS,College TRB,College AST,College FG%,College 3P%,College FT%,PTS,TRB,AST,FG%,3PT%,FT%
Jerami Grant,Syracuse,2014,3,203,95,7.5,4.7,0.9,0.486,0.3,0.641,6.3,3,1.2,0.352,0.314,0.591
Tarik Black,Kansas,2014,4,206,117,5.5,3.9,0.3,0.692,0,0.6,6,5.8,0.7,0.575,0,0.551
K.J. McDaniels,Clemson,2014,3,198,90,11,4.8,0.9,0.45,0.313,0.767,7.9,3.2,1.2,0.396,0.287,0.752
Jordan Clarkson,Missouri,2014,1,196,97,17.5,3.8,3.4,0.448,0.281,0.831,11.9,3.2,3.5,0.448,0.314,0.829
Gary Harris,Michigan State,2014,2,193,95,12.9,2.5,1.4,0.456,0.411,0.755,3.4,1.2,0.5,0.304,0.204,0.745
Joe Harris,UVA,2014,2,198,102,4.3,3.8,1.9,0.445,0.407,0.722,2.7,0.8,0.5,0.4,0.369,0.6
Shabazz Napier,UConn ,2014,1,185,81,7.8,2.4,3,0.37,0.326,0.771,5.1,2.2,2.5,0.382,0.364,0.786
Travis Wear,UCLA,2014,3,208,104,7.2,3.2,1.4,0.53,0.44,0.833,3.9,2.1,0.8,0.402,0.367,0.769
Rodney Hood,Duke,2014,2,203,97,10.3,4.8,2,0.443,0.364,0.659,8.7,2.3,1.7,0.414,0.365,0.763
Ben McLemore,Kansas,2013,2,196,88,15.9,5.2,2,0.495,0.42,0.87,8.8,2.9,1,0.376,0.32,0.804
Cody Zeller,Indiana ,2013,4,213,108,16.1,7.3,1.3,0.592,0,0.756,6,4.3,1.1,0.426,0,0.73
Steven Adams,Pittsburgh,2013,5,213,113,7.2,6.3,0.6,0.571,0,0.443,3.3,4.1,0.5,0.503,0,0.581
Tim Hardaway,Michigan,2013,2,198,92,14.3,4.1,2.1,0.425,0.343,0.724,10.2,1.5,0.8,0.428,0.363,0.828
Kentavious Caldwell-Pope,Georgia  ,2013,2,196,92,13.2,5.2,1.2,0.396,0.304,0.654,5.9,2,0.7,0.396,0.319,0.77
Victor Oladipo,Indiana ,2013,2,196,97,13.6,6.3,2.1,0.599,0.441,0.746,13.8,4.1,4.1,0.419,0.327,0.78
Tony Snell,New Mexico  ,2013,3,201,90,9.2,2.4,2,0.421,0.38,0.821,4.5,1.6,0.9,0.384,0.32,0.756
Phil Pressey,Missouri,2013,1,180,79,6.5,2.3,3.9,0.387,0.361,0.761,2.8,1.4,3.2,0.308,0.264,0.644
Matthew Dellavedova,St. Mary's,2013,1,193,86,12.1,3.5,4.5,0.39,0.398,0.85,4.7,1.7,2.6,0.412,0.368,0.792
Trey Burke,Michigan,2013,1,183,86,16.9,3.3,5.7,0.45,0.367,0.777,12.8,3,5.7,0.38,0.33,0.903
Michael Carter-Williams,Syracuse,2013,1,198,83,11.9,5,7.3,0.393,0.294,0.694,16.7,6.2,6.3,0.405,0.264,0.703
Kelly Olynyk,Gonzaga,2013,5,213,107,8.9,4.6,1.1,0.594,0.333,0.709,8.7,5.2,1.6,0.466,0.351,0.811
Mason Plumlee,Duke,2013,5,208,106,9.8,7.7,1.5,0.574,0.2,0.583,7.4,4.4,0.9,0.659,0,0.626
Gorgui Dieng,Louisville,2013,5,211,111,8.3,7.9,1.2,0.545,0.333,0.64,4.8,5,0.7,0.498,1,0.634
Ryan Kelly,Duke,2013,4,211,104,7.5,3.7,0.9,0.46,0.379,0.805,8,3.7,1.6,0.423,0.338,0.815
Jeff Withey,Kansas,2013,5,213,106,8,5.4,0.6,0.568,1,0.726,3.3,2.6,0.4,0.535,0,0.712
Anthony Bennett,UNLV,2013,4,203,108,16.1,8.1,1,0.533,0.375,0.701,4.2,3,0.3,0.356,0.245,0.638
Damian Lillard,Weber State,2012,1,188,83,24.5,5,4,0.467,0.409,0.887,19,3.1,6.5,0.429,0.368,0.844
Harrison Barnes,UNC,2012,3,203,97,15.6,5.8,1.4,0.421,0.344,0.75,9.2,4.1,1.2,0.439,0.359,0.758
Draymond Green,Michigan State,2012,4,201,104,3.3,3.3,0.8,0.556,0,0.615,2.9,3.3,0.7,0.327,0.209,0.818
Jae Crowder,Marquette,2012,3,198,106,11.8,6.8,1.6,0.485,0.359,0.616,5,2.4,1.2,0.384,0.328,0.644
Festus Ezeli,Vanderbilt,2012,5,211,115,3.8,3.2,0.1,0.544,0,0.373,2.4,4,0.3,0.438,0,0.531
